democrats,republican,state
Tuberville,Jones ,Alabama
Gross,Sullivan,Alaska
Kelly,McSally,Arizona
Hickenlooper,Gardner,Colorado
Coons,Witzke,Delaware
Ossoff,Perdue,Georgia
Jordan,Risch,Idaho
Durbin,Curran,Illinois
Greenfield,Ernst,Iowa
Bollier,Marshall,Kansas
McGrath,McConnell,Kentucky
Edwards,Cassidy,Louisiana
Gideon,Collins,Maine
Markey,O'Connor,Massachusetts
Peters,James,Michigan
Smith,Lewis,Minnesota
Espy,Hyde-Smith,Mississippi
Bullock,Daines,Montana
Janicek,Sasse,Nebraska
Shaheen,Messner,New Hampshire
Booker,Mehta,New Jersey
Luján,Ronchetti ,New Mexico
Cunningham ,Tillis,North Carolina
Broyles,Inhofe,Oklahoma
Merkley,Perkins,Oregon
Reed,Waters ,Rhode Island
Harrison,Graham,South Carolina
Ahlers ,Rounds,South Dakota
Bradshaw,Hagerty ,Tennessee
Hegar,Cornyn,Texas
Warner,Gade,Virginia
Swearengin,Capito,West Virginia
Ben-David,Lummis,Wyoming
